epoch_idx	MR	MRR	Hits@5	Hits@10
10	317.26944	0.2672885	0.35520834	0.41701388
20	493.00485	0.24714468	0.33645833	0.40486112
30	539.00726	0.223209	0.31805557	0.38125
40	558.0722	0.21503894	0.30243057	0.36979166
50	580.62256	0.20211324	0.29444444	0.35694444
60	595.3632	0.2207128	0.29166666	0.35104167
70	617.9531	0.18951993	0.27847221	0.34340277
80	624.2045	0.19909352	0.284375	0.34340277
90	629.55835	0.22218673	0.29930556	0.34409723
100	636.1312	0.19855104	0.278125	0.33888888
110	627.0878	0.20646206	0.2767361	0.33854166
