epoch_idx	MR	MRR	Hits@5	Hits@10
10	200.72917	0.44090682	0.60659724	0.6704861
20	135.17569	0.36649376	0.49097222	0.58993053
30	107.92604	0.33981124	0.45347223	0.5434028
40	102.400696	0.34244576	0.45243055	0.5434028
50	102.20208	0.33906615	0.45173612	0.54583335
60	99.138885	0.33938673	0.45173612	0.5416667
70	102.37986	0.3379429	0.44652778	0.54236114
80	108.11285	0.3321538	0.44166666	0.5388889
90	110.607635	0.33405542	0.4420139	0.53506947
100	115.301735	0.33553058	0.45277777	0.5364583
110	113.53577	0.32748678	0.44131944	0.5378472
