epoch_idx	MR	MRR	Hits@5	Hits@10
10	140.01215	0.32959715	0.446875	0.53229165
20	116.25382	0.32201976	0.43090278	0.5173611
30	118.10347	0.32108495	0.4329861	0.52013886
40	118.51806	0.31735736	0.42256945	0.509375
50	114.318054	0.31606132	0.42673612	0.51284724
60	115.73229	0.32072136	0.42604166	0.51145834
70	118.42812	0.32813185	0.43472221	0.5204861
80	114.751045	0.32112008	0.4263889	0.51666665
90	120.01458	0.3200683	0.4375	0.52743053
100	119.21562	0.3249432	0.43263888	0.5243056
110	120.63785	0.32675353	0.434375	0.52708334
