epoch_idx	MR	MRR	Hits@5	Hits@10
10	208.22708	0.35266516	0.50208336	0.59444445
20	135.8677	0.31094378	0.4201389	0.50972223
30	123.52917	0.3109927	0.41770834	0.49722221
40	114.74236	0.31990784	0.42847222	0.509375
50	113.63958	0.326978	0.44236112	0.52743053
60	106.51354	0.32513496	0.44479167	0.5246528
70	114.748955	0.3266371	0.43680555	0.52534723
80	108.79826	0.32781762	0.4375	0.5309028
90	113.77812	0.32838154	0.4298611	0.5263889
100	115.80382	0.32943383	0.4486111	0.53055555
110	118.12674	0.33052316	0.44340277	0.5309028
