epoch_idx	MR	MRR	Hits@5	Hits@10
10	128.21597	0.32314914	0.43159723	0.51458335
20	97.486115	0.31889072	0.42708334	0.5159722
30	106.22847	0.3186748	0.42604166	0.51805556
40	113.145836	0.31792486	0.4236111	0.51006943
50	117.66493	0.31870446	0.43611112	0.52118057
60	108.88333	0.3168168	0.43229166	0.51493055
70	121.37118	0.3227478	0.42847222	0.5159722
80	108.7375	0.32018968	0.42916667	0.5298611
90	117.31702	0.32314417	0.42291668	0.51805556
100	114.94375	0.3273425	0.44131944	0.52708334
110	120.90833	0.32918537	0.43888888	0.5243056
120	121.579865	0.33122805	0.4454861	0.52708334
130	120.33854	0.32745203	0.43506944	0.5260417
140	122.576385	0.3312459	0.43819445	0.52847224
150	120.65278	0.3296909	0.43888888	0.5260417
160	113.07257	0.33241862	0.440625	0.52708334
170	118.239586	0.3295313	0.43888888	0.528125
180	122.27257	0.33046454	0.4451389	0.5298611
190	120.96389	0.3286625	0.4451389	0.534375
200	125.18298	0.33147976	0.44722223	0.52743053
210	122.9934	0.33222958	0.44236112	0.53020835
220	123.91319	0.33553773	0.44791666	0.540625
230	123.722916	0.33809596	0.4496528	0.54131943
240	126.734375	0.33372575	0.446875	0.53333336
250	123.875694	0.33507055	0.44652778	0.52708334
260	125.50382	0.3344752	0.44756943	0.54375
270	124.29826	0.3383307	0.45625	0.54375
280	124.07604	0.33672053	0.45243055	0.53576386
290	125.13993	0.3396168	0.46006945	0.5402778
300	127.135414	0.33390957	0.44930556	0.53576386
310	127.44583	0.33730173	0.4565972	0.5434028
320	120.46736	0.33448106	0.45555556	0.5454861
330	132.6302	0.33169675	0.4513889	0.54618055
340	129.86147	0.33294928	0.45173612	0.5385417
350	126.22743	0.33223352	0.453125	0.534375
360	127.13333	0.3402666	0.45277777	0.5416667
370	128.29514	0.34035775	0.45590279	0.5402778
380	125.71354	0.3403355	0.4607639	0.5385417
390	128.29897	0.33695325	0.4548611	0.54131943
400	127.23299	0.33695188	0.45416668	0.534375
410	129.24722	0.3395497	0.45625	0.53506947
420	133.69896	0.34195873	0.45868057	0.5451389
430	126.76493	0.3454411	0.46041667	0.5555556
440	129.51111	0.34324715	0.45972222	0.54270834
450	131.6045	0.34305525	0.4670139	0.55
460	131.57118	0.34458342	0.45972222	0.5503472
470	132.09062	0.34218425	0.4576389	0.54895836
480	132.54167	0.34712872	0.459375	0.5517361
490	129.4927	0.34115368	0.45555556	0.54618055
500	135.71771	0.34302008	0.4607639	0.546875
510	133.31563	0.34248462	0.45729166	0.54756945
520	132.39688	0.34340978	0.46319443	0.546875
530	132.42882	0.34026137	0.45972222	0.54305553
540	130.31909	0.34698212	0.46145833	0.5472222
550	135.43263	0.34870267	0.46354166	0.55069447
560	135.75104	0.34382612	0.46388888	0.55104166
570	136.45903	0.3455579	0.46354166	0.54791665
580	135.05869	0.3471995	0.4625	0.5486111
590	135.92361	0.34784555	0.471875	0.55
600	135.61076	0.34767163	0.46909723	0.54791665
610	134.39827	0.34598824	0.46666667	0.55138886
620	134.31285	0.35062185	0.47083333	0.5545139
630	130.17882	0.34240133	0.465625	0.546875
640	131.89688	0.35018048	0.4732639	0.5576389
650	135.59271	0.34771448	0.46944445	0.5486111
660	133.24132	0.34747192	0.46388888	0.5538194
670	134.34062	0.3458714	0.46666667	0.5559028
680	142.35417	0.34952638	0.46666667	0.553125
690	138.6066	0.34998474	0.46666667	0.5486111
700	133.80556	0.35691044	0.46631944	0.5434028
710	138.69028	0.35491723	0.471875	0.5538194
720	136.9382	0.35587615	0.46770832	0.55659723
730	139.21216	0.35155648	0.47430557	0.55694443
740	139.72673	0.3542553	0.46944445	0.5572917
750	141.92258	0.3447261	0.4652778	0.55625
760	140.81528	0.35322157	0.4704861	0.55138886
770	140.01527	0.34879583	0.47291666	0.5534722
780	139.77014	0.35095143	0.47361112	0.5555556
790	142.11632	0.35008448	0.46944445	0.55277777
800	139.125	0.3579448	0.4732639	0.55659723
810	140.26146	0.35693902	0.47395834	0.5552083
820	143.14444	0.3570928	0.47118056	0.5552083
830	141.93402	0.35701904	0.47395834	0.5548611
840	144.13646	0.35871044	0.46979168	0.5541667
850	138.55869	0.35348985	0.4704861	0.5545139
860	143.417	0.35734448	0.47256944	0.55833334
870	143.8882	0.35770205	0.47534722	0.5590278
880	146.93541	0.3606937	0.47361112	0.55833334
890	146.65799	0.35997885	0.47395834	0.5576389
900	146.37952	0.3632356	0.47951388	0.5545139
910	146.1486	0.3597797	0.47256944	0.55277777
920	145.21458	0.35739762	0.47256944	0.5472222
930	151.2993	0.35629144	0.47395834	0.55
940	146.77257	0.3598967	0.46875	0.55069447
950	149.02014	0.36032084	0.4763889	0.546875
960	152.96632	0.35721478	0.47118056	0.5520833
970	154.70416	0.3621616	0.471875	0.5517361
980	155.37917	0.35787615	0.47256944	0.5538194
990	155.74374	0.36403352	0.47430557	0.54965276
1000	155.84653	0.36151493	0.4722222	0.55243057
