epoch_idx	MR	MRR	Hits@5	Hits@10
10	226.24704	0.32147154	0.4351738	0.51390594
20	193.29837	0.29790714	0.400818	0.4832311
30	180.79672	0.2968717	0.39734152	0.48466256
40	197.1822	0.29811826	0.41022494	0.49059305
50	199.80081	0.30128422	0.40674847	0.48629856
60	196.7636	0.3000903	0.41104296	0.49100205
70	198.94682	0.30986953	0.4202454	0.49652353
80	212.7274	0.310835	0.4214724	0.5063395
90	212.5638	0.3079548	0.42556238	0.50490797
100	209.30777	0.31312624	0.42638037	0.50143147
110	217.64479	0.31579292	0.43108386	0.5122699
